country,total_cases,total_deaths,total_recovered,active_cases,total_test,population
Micronesia,0.00021757854190917238,5.1194463936589474e-05,0.0,0.0,4.7392180781966053e-05,8.35250575200997e-05
Burkina Faso,0.00021133075262846703,0.0003495346158429213,0.00021314062062983882,3.0129782669312487e-06,0.00021468182825705673,0.015713307759087622
Liechtenstein,0.00020475665791681852,7.855702224752523e-05,0.0002095974884384093,1.278233204152651e-06,9.69596753360663e-05,2.729001338869228e-05
Gibraltar,0.00019572567525453935,9.797561201657641e-05,0.00016362559499083617,0.00033864049672872735,0.00046065523904763165,2.3960783891746806e-05
Grenada,0.0001888252751119477,0.00021007383477428097,0.00019105279376516114,7.669399224915906e-06,0.0001577649977561979,8.067143223700358e-05
Bermuda,0.0001800534173507116,0.0001385781178973198,0.00018350266527924586,1.4608379476030296e-06,0.0008837024672245849,4.40335566541332e-05
Nicaragua,0.00017741418224749507,0.00019859921354711436,4.169842203005506e-05,0.0012819766013933837,0.0,0.00481938494186271
South Sudan,0.00017623372436496548,0.00012180751764223014,0.00017878506865667392,1.0499772748396776e-05,0.0003537406795208949,0.008259809850904435
Tajikistan,0.00017064814316470356,0.00011033289641506353,0.00017038616755665574,3.624704157490017e-05,0.0,0.007078941461365082
Equatorial Guinea,0.0001649282009046415,0.00016152736035165302,0.00016662590748719989,1.132149409392348e-05,0.0003153015142798886,0.0010640041164547104
Tonga,0.0001605518692425806,1.1474621227166607e-05,0.00015433844348071028,9.888046857838008e-05,0.00046128119140536824,7.660071515404185e-05
Samoa,0.00015434246883610386,2.5597231968294737e-05,1.5840465646920325e-05,0.0013195931785441619,0.0001615724435024304,0.0001437753671220918
Monaco,0.00015404495506083217,5.7373106135833034e-05,0.00015773353393712188,8.217213455267042e-07,6.780805664814346e-05,2.828245506662008e-05
Dominica,0.00015120417836791543,6.531707467771761e-05,0.00015468387419575216,1.1869308324274616e-06,0.00019773886712498812,5.143065956161081e-05
Djibouti,0.00015053237306891486,0.00016682333937957606,0.00015225598974145783,6.756375507664012e-06,0.00026378028963951964,0.0007223617561729247
Marshall Islands,0.00014951506790185685,1.500527391244864e-05,0.0001532528040905787,3.5607924972823848e-06,0.0,4.2695608776009906e-05
